ticknumb,gender,day1,day2,day3
2111,0,2.64,1.35,1.61
2338,0,0.84, , 
2405,0,0.85, , 
2490,0,2.29, , 
2509,0,2.17, , 
2514,0,1.41, , 
2520,0,1.38,0.02, 
2529,0,1.5, , 
2538,0,2.05, , 
2549,0,2.17,0.7,0.76
2601,0,3.23, , 
2602,0,0.97,0.38,0.76
2604,0,2.57,0.11,0.02
2612,0,1.94,0.82,1.67
2616,0,1.91, , 
2644,0,1.5, , 
2663,0,1.67, , 
2664,0,2.08, , 
2670,0,2, , 
2675,0,1.52, , 
2677,0,1.28,0.38,0.14
2681,0,1.88, , 
2687,0,2, , 
2689,0,0.85,0.32,0.52
2710,0,1.32, , 
2728,0,1.79, , 
2730,0,1.34, , 
2752,0,1.73, , 
2758,0,2.81, , 
2768,0,1.47, , 
2771,0,0.55,0.79, 
2772,0,2.29, , 
2775,0,2.23, , 
2780,0,1.2, , 
2783,0,2.91,2.08,2.11
2788,0,1.88, , 
2789,0,0.94, , 
2799,0,0.7, , 
2806,0,1.38, , 
2812,0,1.59, , 
2827,0,1.5, , 
2830,0,2.29, , 
2839,0,1.85, , 
2857,0,1.64, , 
2858,0,1.17, , 
2859,0,1.57, , 
2890,0,1.94, , 
2901,0,1.87, , 
2920,0,1.33, , 
2923,0,0.55, , 
2932,0,0.85, , 
2938,0,1.2,1.38,1.5
2940,0,1.94,1.44, 
2942,0,1.41, , 
2952,0,2.17, , 
2953,0,1.82,1.11, 
2957,0,1.82, , 
2958,0,1.26, , 
2966,0,1.73, , 
2967,0,1.23, , 
2968,0,2.32, , 
2979,0,1.34, , 
2982,0,1.85, , 
2983,0,2.08, , 
2984,0,1.02, , 
2990,0,1.14,0.58,0.11
3016,0,1.94, , 
3017,0,2.41, , 
3018,0,0.88, , 
3027,0,2.23, , 
3030,0,0.11,0.29, 
3031,0,2.17, , 
3035,0,2.2, , 
3048,0,2.17, , 
3051,0,1.64, , 
3057,0,1.44,0.05,0.2
3064,0,1.57, , 
3069,0,1.93, , 
3070,0,2.47, , 
3093,0,2.44, , 
3095,0,2.71,0.78,0.33
3097,0,1.58, , 
3098,0,1.5, , 
3106,0,2.05, , 
3109,0,2.55,2.29, 
3112,0,2, , 
3118,0,1.44, , 
3129,0,1.85,0.23, 
3133,0,2.91, , 
3136,0,1.7, , 
3138,0,1.11, , 
3147,0,1.82, , 
3172,0,1.52, , 
3190,0,0.78, , 
3202,0,0.97, , 
3247,0,1.41, , 
3248,0,1.79, , 
3249,0,1.08,0.44,0.44
3250,0,1.47, , 
3253,0,2, , 
3255,0,2.2, , 
3260,0,0.32, , 
3261,0,2.58, , 
3262,0,0.51, , 
